cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost
C4,1,10,Logistic Regression,0.6,0.16605166051660517,0.8490566037735849,0.2777777777777778,0.0010350627506792599,7721,8,226,45,2268
C1,1,1,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,234
C2,1,2,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,463
C3,1,5,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,1150
C4,1,10,Logistic Regression,0.65,0.15498154981549817,0.8936170212765957,0.26415094339622647,0.0006469142191745374,7724,5,229,42,2295
C1,1,1,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,242
C2,1,2,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,481
C3,1,5,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,1198
C4,1,10,Logistic Regression,0.7,0.11808118081180811,0.9142857142857143,0.2091503267973856,0.00038814853150472245,7726,3,239,32,2393
C1,1,1,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,246
C2,1,2,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,490
C3,1,5,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,1222
C4,1,10,Logistic Regression,0.75,0.0996309963099631,0.9310344827586207,0.18,0.00025876568766981497,7727,2,244,27,2442
C1,1,1,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,256
C2,1,2,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,510
C3,1,5,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,1272
C4,1,10,Logistic Regression,0.8,0.06273062730627306,0.8947368421052632,0.11724137931034481,0.00025876568766981497,7727,2,254,17,2542
C1,1,1,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,261
C2,1,2,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,521
C3,1,5,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,1301
C4,1,10,Logistic Regression,0.85,0.04059040590405904,0.9166666666666666,0.07773851590106007,0.00012938284383490748,7728,1,260,11,2601
C1,1,1,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,265
C2,1,2,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,530
C3,1,5,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,1325
C4,1,10,Logistic Regression,0.9,0.02214022140221402,1.0,0.04332129963898917,0.0,7729,0,265,6,2650
C1,1,1,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,271
C2,1,2,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,542
C3,1,5,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,1355
C4,1,10,Logistic Regression,0.95,0.0,0.0,0.0,0.0,7729,0,271,0,2710
C1,1,1,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.05,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.1,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.1,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.1,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.1,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.15,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.15,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.15,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.15,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.2,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.2,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.2,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.2,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.25,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.25,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.25,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.25,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.3,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.3,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.3,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.3,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.35,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.35,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.35,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.35,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.4,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.4,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.4,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.4,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.45,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.45,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.45,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.45,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.5,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.5,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.5,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.5,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.55,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.55,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.55,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.55,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.6,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.6,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.6,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.6,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.65,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.65,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.65,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.65,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.7,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.7,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.7,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.7,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.75,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.75,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.75,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.75,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.8,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.8,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.8,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.8,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.85,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.85,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.85,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.85,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.9,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.9,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.9,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.9,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Decision Tree,0.95,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,166
C2,1,2,Decision Tree,0.95,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,255
C3,1,5,Decision Tree,0.95,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,522
C4,1,10,Decision Tree,0.95,0.6715867158671587,0.7027027027027027,0.6867924528301886,0.009962478975287877,7652,77,89,182,967
C1,1,1,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249,708
C2,1,2,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249,730
C3,1,5,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249,796
C4,1,10,Random Forest,0.05,0.9188191881918819,0.2663101604278075,0.41293532338308453,0.08875663087074653,7043,686,22,249,906
C1,1,1,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238,417
C2,1,2,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238,450
C3,1,5,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238,549
C4,1,10,Random Forest,0.1,0.8782287822878229,0.38263665594855306,0.5330347144456887,0.04968301203260447,7345,384,33,238,714
C1,1,1,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230,296
C2,1,2,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230,337
C3,1,5,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230,460
C4,1,10,Random Forest,0.15,0.8487084870848709,0.4742268041237113,0.6084656084656084,0.03299262517790141,7474,255,41,230,665
C1,1,1,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220,217
C2,1,2,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220,268
C3,1,5,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220,421
C4,1,10,Random Forest,0.2,0.8118081180811808,0.5699481865284974,0.6697108066971081,0.021477552076594644,7563,166,51,220,676
C1,1,1,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212,170
C2,1,2,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212,229
C3,1,5,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212,406
C4,1,10,Random Forest,0.25,0.7822878228782287,0.6563467492260062,0.7138047138047138,0.01436149566567473,7618,111,59,212,701
C1,1,1,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201,143
C2,1,2,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201,213
C3,1,5,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201,423
C4,1,10,Random Forest,0.3,0.7416974169741697,0.7335766423357665,0.7376146788990824,0.009444947599948246,7656,73,70,201,773
C1,1,1,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183,135
C2,1,2,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183,223
C3,1,5,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183,487
C4,1,10,Random Forest,0.35,0.6752767527675276,0.7956521739130434,0.7305389221556885,0.006080993660240652,7682,47,88,183,927
C1,1,1,Random Forest,0.4,0.6125461254612546,0.8177339901477833,0.7004219409282701,0.0047871652218915775,7692,37,105,166,142
C2,1,2,Random Forest,0.4,0.6125461254612546,0.8177339901477833,0.7004219409282701,0.0047871652218915775,7692,37,105,166,247
C3,1,5,Random Forest,0.4,0.6125461254612546,0.8177339901477833,0.7004219409282701,0.0047871652218915775,7692,37,105,166,562
C4,1,10,Random Forest,0.4,0.6125461254612546,0.8177339901477833,0.7004219409282701,0.0047871652218915775,7692,37,105,166,1087
C1,1,1,Random Forest,0.45,0.5424354243542435,0.84,0.6591928251121076,0.00362271962737741,7701,28,124,147,152
C2,1,2,Random Forest,0.45,0.5424354243542435,0.84,0.6591928251121076,0.00362271962737741,7701,28,124,147,276
C3,1,5,Random Forest,0.45,0.5424354243542435,0.84,0.6591928251121076,0.00362271962737741,7701,28,124,147,648
C4,1,10,Random Forest,0.45,0.5424354243542435,0.84,0.6591928251121076,0.00362271962737741,7701,28,124,147,1268
C1,1,1,Random Forest,0.5,0.47601476014760147,0.86,0.6128266033254157,0.0027170397205330574,7708,21,142,129,163
C2,1,2,Random Forest,0.5,0.47601476014760147,0.86,0.6128266033254157,0.0027170397205330574,7708,21,142,129,305
C3,1,5,Random Forest,0.5,0.47601476014760147,0.86,0.6128266033254157,0.0027170397205330574,7708,21,142,129,731
C4,1,10,Random Forest,0.5,0.47601476014760147,0.86,0.6128266033254157,0.0027170397205330574,7708,21,142,129,1441
C1,1,1,Random Forest,0.55,0.41697416974169743,0.8968253968253969,0.5692695214105793,0.0016819769698537975,7716,13,158,113,171
C2,1,2,Random Forest,0.55,0.41697416974169743,0.8968253968253969,0.5692695214105793,0.0016819769698537975,7716,13,158,113,329
C3,1,5,Random Forest,0.55,0.41697416974169743,0.8968253968253969,0.5692695214105793,0.0016819769698537975,7716,13,158,113,803
C4,1,10,Random Forest,0.55,0.41697416974169743,0.8968253968253969,0.5692695214105793,0.0016819769698537975,7716,13,158,113,1593
C1,1,1,Random Forest,0.6,0.3726937269372694,0.9181818181818182,0.5301837270341208,0.0011644455945141673,7720,9,170,101,179
C2,1,2,Random Forest,0.6,0.3726937269372694,0.9181818181818182,0.5301837270341208,0.0011644455945141673,7720,9,170,101,349
C3,1,5,Random Forest,0.6,0.3726937269372694,0.9181818181818182,0.5301837270341208,0.0011644455945141673,7720,9,170,101,859
C4,1,10,Random Forest,0.6,0.3726937269372694,0.9181818181818182,0.5301837270341208,0.0011644455945141673,7720,9,170,101,1709
C1,1,1,Random Forest,0.65,0.3247232472324723,0.9263157894736842,0.48087431693989063,0.0009056799068443525,7722,7,183,88,190
C2,1,2,Random Forest,0.65,0.3247232472324723,0.9263157894736842,0.48087431693989063,0.0009056799068443525,7722,7,183,88,373
C3,1,5,Random Forest,0.65,0.3247232472324723,0.9263157894736842,0.48087431693989063,0.0009056799068443525,7722,7,183,88,922
C4,1,10,Random Forest,0.65,0.3247232472324723,0.9263157894736842,0.48087431693989063,0.0009056799068443525,7722,7,183,88,1837
C1,1,1,Random Forest,0.7,0.28044280442804426,0.926829268292683,0.4305949008498583,0.0007762970630094449,7723,6,195,76,201
C2,1,2,Random Forest,0.7,0.28044280442804426,0.926829268292683,0.4305949008498583,0.0007762970630094449,7723,6,195,76,396
C3,1,5,Random Forest,0.7,0.28044280442804426,0.926829268292683,0.4305949008498583,0.0007762970630094449,7723,6,195,76,981
C4,1,10,Random Forest,0.7,0.28044280442804426,0.926829268292683,0.4305949008498583,0.0007762970630094449,7723,6,195,76,1956
C1,1,1,Random Forest,0.75,0.21033210332103322,0.95,0.34441087613293053,0.00038814853150472245,7726,3,214,57,217
C2,1,2,Random Forest,0.75,0.21033210332103322,0.95,0.34441087613293053,0.00038814853150472245,7726,3,214,57,431
C3,1,5,Random Forest,0.75,0.21033210332103322,0.95,0.34441087613293053,0.00038814853150472245,7726,3,214,57,1073
C4,1,10,Random Forest,0.75,0.21033210332103322,0.95,0.34441087613293053,0.00038814853150472245,7726,3,214,57,2143
C1,1,1,Random Forest,0.8,0.15498154981549817,0.9545454545454546,0.26666666666666666,0.00025876568766981497,7727,2,229,42,231
C2,1,2,Random Forest,0.8,0.15498154981549817,0.9545454545454546,0.26666666666666666,0.00025876568766981497,7727,2,229,42,460
C3,1,5,Random Forest,0.8,0.15498154981549817,0.9545454545454546,0.26666666666666666,0.00025876568766981497,7727,2,229,42,1147
